count,Kraj,DruhZarizeni,Datum
11.219156668458961,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-08-01
11.219156668458961,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-02-01
13.717015090882443,Støedoèeskı kraj,Domácí zdravotní péèe,2020-12-01
13.356041009543432,Støedoèeskı kraj,Domácí zdravotní péèe,2020-01-01
13.428235825811235,Støedoèeskı kraj,Domácí zdravotní péèe,2020-03-01
14.09158960999201,Støedoèeskı kraj,Domácí zdravotní péèe,2021-02-01
12.487840786602519,Støedoèeskı kraj,Domácí zdravotní péèe,2019-05-01
13.57262545834684,Støedoèeskı kraj,Domácí zdravotní péèe,2020-08-01
13.57262545834684,Støedoèeskı kraj,Domácí zdravotní péèe,2020-09-01
9.75757598157888,Støedoèeskı kraj,Domácí zdravotní péèe,2018-11-01
9.535812891088451,Støedoèeskı kraj,Domácí zdravotní péèe,2018-10-01
9.75757598157888,Støedoèeskı kraj,Domácí zdravotní péèe,2018-12-01
9.931849982327149,Støedoèeskı kraj,Domácí zdravotní péèe,2019-04-01
14.377713256895401,Støedoèeskı kraj,Domácí zdravotní péèe,2021-03-01
13.356041009543432,Støedoèeskı kraj,Domácí zdravotní péèe,2020-02-01
14.449244168621247,Støedoèeskı kraj,Domácí zdravotní péèe,2021-08-01
13.145095564844755,Støedoèeskı kraj,Domácí zdravotní péèe,2019-07-01
14.592305992072944,Støedoèeskı kraj,Domácí zdravotní péèe,2021-09-01
9.858821673633567,Støedoèeskı kraj,Domácí zdravotní péèe,2019-03-01
13.57262545834684,Støedoèeskı kraj,Domácí zdravotní péèe,2020-07-01
9.712765056246402,Støedoèeskı kraj,Domácí zdravotní péèe,2019-01-01
13.805465963088619,Støedoèeskı kraj,Domácí zdravotní péèe,2021-01-01
12.779954021376847,Støedoèeskı kraj,Domácí zdravotní péèe,2019-06-01
15.021491462428031,Støedoèeskı kraj,Domácí zdravotní péèe,2021-06-01
13.145095564844755,Støedoèeskı kraj,Domácí zdravotní péèe,2019-09-01
14.449244168621247,Støedoèeskı kraj,Domácí zdravotní péèe,2021-07-01
13.717015090882443,Støedoèeskı kraj,Domácí zdravotní péèe,2020-11-01
15.307615109331422,Støedoèeskı kraj,Domácí zdravotní péèe,2021-10-01
13.583265417006247,Støedoèeskı kraj,Domácí zdravotní péèe,2019-12-01
13.510237108312667,Støedoèeskı kraj,Domácí zdravotní péèe,2019-10-01
14.663836903798792,Støedoèeskı kraj,Domácí zdravotní péèe,2021-05-01
14.663836903798792,Støedoèeskı kraj,Domácí zdravotní péèe,2021-04-01
13.717015090882443,Støedoèeskı kraj,Domácí zdravotní péèe,2020-10-01
13.583265417006247,Støedoèeskı kraj,Domácí zdravotní péèe,2019-11-01
13.218123873538339,Støedoèeskı kraj,Domácí zdravotní péèe,2019-08-01
9.858821673633567,Støedoèeskı kraj,Domácí zdravotní péèe,2019-02-01
