currency,date,avg_value
DKK,2010-07,7.45216818181818
DKK,2010-08,7.449522727272726
DKK,2010-09,7.4475727272727275
DKK,2010-10,7.4567
DKK,2010-11,7.454704545454546
DKK,2010-12,7.452795652173911
DKK,2011-01,7.451838095238096
DKK,2011-02,7.45548
DKK,2011-03,7.4574304347826095
DKK,2011-04,7.457405263157894
DKK,2011-05,7.456613636363636
DKK,2011-06,7.457895454545454
DKK,2011-07,7.455980952380951
DKK,2011-08,7.449769565217391
DKK,2011-09,7.44624090909091
DKK,2011-10,7.444171428571428
DKK,2011-11,7.4412090909090916
DKK,2011-12,7.434071428571428
DKK,2012-01,7.43530909090909
DKK,2012-02,7.434147619047619
DKK,2012-03,7.435404545454545
DKK,2012-04,7.439284210526315
DKK,2012-05,7.433481818181819
DKK,2012-06,7.432533333333332
DKK,2012-07,7.438377272727272
DKK,2012-08,7.445439130434782
DKK,2012-09,7.453894999999998
DKK,2012-10,7.458204347826087
DKK,2012-11,7.458650000000002
DKK,2012-12,7.460410526315791
DKK,2013-01,7.461427272727272
DKK,2013-02,7.459809999999999
DKK,2013-03,7.455315000000001
DKK,2013-04,7.455328571428571
DKK,2013-05,7.453604545454545
DKK,2013-06,7.457635000000001
DKK,2013-07,7.457926086956522
DKK,2013-08,7.457999999999998
DKK,2013-09,7.457938095238096
DKK,2013-10,7.459178260869563
DKK,2013-11,7.458657142857142
DKK,2013-12,7.4602450000000005
DKK,2014-01,7.46142272727273
DKK,2014-02,7.462240000000001
DKK,2014-03,7.463842857142858
DKK,2014-04,7.465639999999999
DKK,2014-05,7.46412380952381
DKK,2014-06,7.458814285714287
DKK,2014-07,7.456447826086957
DKK,2014-08,7.455104761904762
DKK,2014-09,7.444877272727271
DKK,2014-10,7.444804347826086
DKK,2014-11,7.441534999999999
DKK,2014-12,7.440228571428572
DKK,2015-01,7.440595238095237
DKK,2015-02,7.450090000000001
DKK,2015-03,7.459313636363635
DKK,2015-04,7.465535
DKK,2015-05,7.461180000000001
DKK,2015-06,7.460268181818182
DKK,2015-07,7.461626086956523
DKK,2015-08,7.462657142857143
DKK,2015-09,7.46099090909091
DKK,2015-10,7.460054545454546
DKK,2015-11,7.460166666666665
DKK,2015-12,7.461222727272727
DKK,2016-01,7.461905
DKK,2016-02,7.46277619047619
DKK,2016-03,7.456904761904762
DKK,2016-04,7.442747619047618
DKK,2016-05,7.4386363636363635
DKK,2016-06,7.4370590909090915
DKK,2016-07,7.4390190476190465
DKK,2016-08,7.4407999999999985
DKK,2016-09,7.447450000000001
DKK,2016-10,7.440228571428571
DKK,2016-11,7.44055909090909
DKK,2016-12,7.436204761904763
DKK,2017-01,7.435468181818183
DKK,2017-02,7.4348
DKK,2017-03,7.435569565217394
DKK,2017-04,7.4375833333333325
DKK,2017-05,7.439986363636364
DKK,2017-06,7.4375636363636355
DKK,2017-07,7.436638095238095
DKK,2017-08,7.437869565217391
DKK,2017-09,7.440128571428569
DKK,2017-10,7.442909090909091
DKK,2017-11,7.441963636363636
DKK,2017-12,7.443321052631577
DKK,2018-01,7.445454545454546
DKK,2018-02,7.445745
DKK,2018-03,7.449004761904762
DKK,2018-04,7.44788
DKK,2018-05,7.448177272727273
DKK,2018-06,7.449347619047619
DKK,2018-07,7.45225909090909
DKK,2018-08,7.455826086956522
DKK,2018-09,7.458315000000001
DKK,2018-10,7.4597434782608705
DKK,2018-11,7.461127272727273
DKK,2018-12,7.465321052631579
DKK,2019-01,7.465736363636364
DKK,2019-02,7.462649999999999
DKK,2019-03,7.462480952380953
DKK,2019-04,7.464975
DKK,2019-05,7.467513636363635
DKK,2019-06,7.466945000000001
DKK,2019-07,7.465565217391304
DKK,2019-08,7.4601999999999995
DKK,2019-09,7.4634333333333345
DKK,2019-10,7.469321739130433
DKK,2019-11,7.472014285714287
DKK,2019-12,7.4720049999999985
DKK,2020-01,7.4729090909090905
DKK,2020-02,7.471345000000001
DKK,2020-03,7.470318181818183
DKK,2020-04,7.461655000000002
DKK,2020-05,7.457715000000002
DKK,2020-06,7.454763636363637
DKK,2020-07,7.446652173913043
DKK,2020-08,7.446038095238099
DKK,2020-09,7.441781818181817
DKK,2020-10,7.442377272727273
DKK,2020-11,7.445942857142858
DKK,2020-12,7.441213636363637
DKK,2021-01,7.438665
DKK,2021-02,7.43674
DKK,2021-03,7.436269565217394
DKK,2021-04,7.436745
DKK,2021-05,7.4362142857142866
DKK,2021-06,7.436431818181817
DKK,2021-07,7.4372727272727275
DKK,2021-08,7.436863636363636
DKK,2021-09,7.436072727272729
DKK,2021-10,7.439790476190477
DKK,2021-11,7.437286363636364
DKK,2021-12,7.436243478260871
DKK,2022-01,7.441057142857143
DKK,2022-02,7.440790000000002
DKK,2022-03,7.440356521739131
DKK,2022-04,7.439105263157894
DKK,2022-05,7.440500000000001
DKK,2022-06,7.4392000000000005
DKK,2022-07,7.442628571428571
DKK,2022-08,7.4393
DKK,2022-09,7.436631818181818
DKK,2022-10,7.438928571428572
DKK,2022-11,7.438731818181821
DKK,2022-12,7.4373
EEK,1999-01,15.646600000000001
EEK,1999-02,15.646600000000001
EEK,1999-03,15.646599999999998
EEK,1999-04,15.6466
EEK,1999-05,15.6466
EEK,1999-06,15.6466
EEK,1999-07,15.6466
EEK,1999-08,15.6466
EEK,1999-09,15.6466
EEK,1999-10,15.6466
EEK,1999-11,15.6466
EEK,1999-12,15.6466
EEK,2000-01,15.6466
EEK,2000-02,15.6466
EEK,2000-03,15.646599999999998
EEK,2000-04,15.646600000000003
EEK,2000-05,15.6466
EEK,2000-06,15.6466
EEK,2000-07,15.6466
EEK,2000-08,15.646599999999998
EEK,2000-09,15.6466
EEK,2000-10,15.6466
EEK,2000-11,15.6466
EEK,2000-12,15.646600000000001
EEK,2001-01,15.6466
EEK,2001-02,15.646600000000001
EEK,2001-03,15.6466
EEK,2001-04,15.646600000000001
EEK,2001-05,15.6466
EEK,2001-06,15.6466
EEK,2001-07,15.6466
EEK,2001-08,15.646599999999998
EEK,2001-09,15.646600000000001
EEK,2001-10,15.646599999999998
EEK,2001-11,15.6466
EEK,2001-12,15.646600000000003
EEK,2002-01,15.6466
EEK,2002-02,15.646600000000001
EEK,2002-03,15.646600000000001
EEK,2002-04,15.6466
EEK,2002-05,15.6466
EEK,2002-06,15.646600000000001
EEK,2002-07,15.646599999999998
EEK,2002-08,15.6466
EEK,2002-09,15.6466
EEK,2002-10,15.646599999999998
EEK,2002-11,15.6466
EEK,2002-12,15.646600000000001
EEK,2003-01,15.6466
EEK,2003-02,15.646600000000001
EEK,2003-03,15.6466
EEK,2003-04,15.646600000000001
EEK,2003-05,15.6466
EEK,2003-06,15.6466
EEK,2003-07,15.646599999999998
EEK,2003-08,15.6466
EEK,2003-09,15.6466
EEK,2003-10,15.646599999999998
EEK,2003-11,15.646600000000001
EEK,2003-12,15.6466
EEK,2004-01,15.6466
EEK,2004-02,15.646600000000001
EEK,2004-03,15.646599999999998
EEK,2004-04,15.646600000000001
EEK,2004-05,15.6466
EEK,2004-06,15.6466
EEK,2004-07,15.6466
EEK,2004-08,15.6466
EEK,2004-09,15.6466
EEK,2004-10,15.6466
EEK,2004-11,15.6466
EEK,2004-12,15.646599999999998
EEK,2005-01,15.6466
EEK,2005-02,15.646600000000001
EEK,2005-03,15.6466
EEK,2005-04,15.6466
EEK,2005-05,15.6466
EEK,2005-06,15.6466
EEK,2005-07,15.6466
EEK,2005-08,15.646599999999998
EEK,2005-09,15.6466
EEK,2005-10,15.6466
EEK,2005-11,15.6466
EEK,2005-12,15.6466
EEK,2006-01,15.6466
EEK,2006-02,15.646600000000001
EEK,2006-03,15.646599999999998
EEK,2006-04,15.646600000000003
EEK,2006-05,15.6466
EEK,2006-06,15.6466
EEK,2006-07,15.6466
EEK,2006-08,15.646599999999998
EEK,2006-09,15.6466
EEK,2006-10,15.6466
EEK,2006-11,15.6466
EEK,2006-12,15.646600000000001
EEK,2007-01,15.6466
EEK,2007-02,15.646600000000001
EEK,2007-03,15.6466
EEK,2007-04,15.646600000000001
EEK,2007-05,15.6466
EEK,2007-06,15.6466
EEK,2007-07,15.6466
EEK,2007-08,15.646599999999998
EEK,2007-09,15.646600000000001
EEK,2007-10,15.646599999999998
EEK,2007-11,15.6466
EEK,2007-12,15.646600000000001
EEK,2008-01,15.6466
EEK,2008-02,15.6466
EEK,2008-03,15.646600000000001
EEK,2008-04,15.6466
EEK,2008-05,15.6466
EEK,2008-06,15.6466
EEK,2008-07,15.646599999999998
EEK,2008-08,15.6466
EEK,2008-09,15.6466
EEK,2008-10,15.646599999999998
EEK,2008-11,15.646600000000001
EEK,2008-12,15.6466
EEK,2009-01,15.6466
EEK,2009-02,15.646600000000001
EEK,2009-03,15.6466
EEK,2009-04,15.646600000000001
EEK,2009-05,15.646600000000001
EEK,2009-06,15.6466
EEK,2009-07,15.646599999999998
EEK,2009-08,15.6466
EEK,2009-09,15.6466
EEK,2009-10,15.6466
EEK,2009-11,15.6466
EEK,2009-12,15.6466
EEK,2010-01,15.646600000000001
EEK,2010-02,15.646600000000001
EEK,2010-03,15.646599999999998
EEK,2010-04,15.646600000000001
EEK,2010-05,15.6466
EEK,2010-06,15.6466
EEK,2010-07,15.6466
EEK,2010-08,15.6466
EEK,2010-09,15.6466
EEK,2010-10,15.6466
EEK,2010-11,15.6466
EEK,2010-12,15.646599999999998
GBP,1999-01,0.7029124999999999
GBP,1999-02,0.688505
GBP,1999-03,0.6712695652173912
GBP,1999-04,0.6650181818181818
GBP,1999-05,0.6582523809523808
GBP,1999-06,0.6502545454545455
GBP,1999-07,0.6577909090909091
GBP,1999-08,0.6601363636363636
GBP,1999-09,0.6468318181818181
GBP,1999-10,0.6458714285714287
GBP,1999-11,0.6370181818181819
GBP,1999-12,0.6265090909090909
